,Heating,Cooling,Country
0,70181.07,571.6,USA
1,79545.25,527.97,USA
2,5796.05,20486.48,USA
3,8239.55,10069.8,ITA
4,86888.04,7211.27,USA
5,60645.48,5092.15,USA
6,6318.99,23734.37,USA
7,15491.76,12375.79,USA
8,60137.17,4395.16,USA
9,1612.05,23093.72,CHN
10,49582.35,7640.32,USA
11,2525.96,6924.59,USA
12,66002.88,645.41,USA
13,0,36299.81,BRA
14,9225.14,2460.77,BRA
15,0,33858.79,BRA
16,28590.3,4355.68,FRA
17,37613.6,12466.46,USA
18,185.31,18157.75,ETH
19,2605.91,27145.31,USA
20,25718.96,7464.06,ITA
21,1864.28,6925.12,BRA
22,159956.94,397.36,USA
23,26836.07,6598.94,ITA
24,11517.74,16041.68,USA
25,1284.71,10056.67,BRA
26,0,34527.02,BRA
27,19367.93,5042.36,FRA
28,11709.9,2015.79,NZL
29,215812.13,729.14,CAN
30,13231.64,16904.81,USA
31,41562.98,7633.49,USA
32,60813.73,1415.18,POL
33,0,25131.86,BRA
34,0,22840.82,KEN
35,13584.04,17777.65,CHN
36,24692.59,1484.65,USA
37,0.08,44295.63,IND
38,0,27286.79,BRA
39,326.59,18735.2,BRA
40,51732.01,6940.83,USA
41,11709.24,9322.62,ITA
42,17261.45,14865.22,USA
43,14510.27,19450.02,USA
44,49259.41,6296.8,USA
45,84815.97,6896.75,USA
46,80090.54,4725.7,CAN
47,18083.82,17280.93,USA
48,44275.74,8443.97,USA
49,170256.24,604.62,CAN
50,76819.86,8851.67,USA
51,1.59,26688.69,IND
52,16434.08,14756.79,CHN
53,422.19,31986.25,IND
54,156.32,24825.14,BRA
55,69664.2,5503.37,CHN
56,4699.58,15565.53,ISR
57,4826.73,10787.55,ITA
58,6578.52,1632.03,BRA
59,51668.68,1955.95,POL
60,0,29916.66,BRA
61,390.12,24354.24,BRA
62,0,22040.12,BRA
63,49037.33,8093.78,USA
64,92223.47,7586.76,USA
65,10077.4,19247.37,USA
66,15432.21,8208.87,USA
67,131881.5,31.67,POL
68,104.06,30457.05,BRA
69,6480.25,14139.56,CZ10RV2.htm
70,0,33374.41,BRA
71,8392.53,19309.19,USA
72,86872.21,1211.52,USA
73,0,39043.9,MYS
74,19771.43,17324.43,USA
75,10677.32,15466.59,USA
76,14158.15,16577.86,USA
77,103177.68,2888.9,USA
78,1702.83,15142.86,BRA
79,15056.65,3719.82,AUS
80,785.15,23005.95,BRA
81,104253.82,4507.39,CAN
82,18798.84,12788.59,USA
83,15253.92,21204,USA
84,48372.56,1575.98,CHN
85,28810.35,9631.56,USA
86,0,40098.1,KEN
87,87.92,43728.84,IND
88,74507.43,1350.34,USA
89,0,41433.98,BRA
90,3794.55,10966.05,CHN
91,26939.55,13189.07,USA
92,3019.68,25141.12,CHN
93,85131.21,1312.78,CAN
94,93691.91,4924.23,CHN
95,0,38984.35,BRA
96,256.26,33338.78,IND
97,101.44,42875.47,AUS
98,845.39,14275.91,ETH
99,10556.65,18999.67,USA
