,LOCATION,ID,CZ,Heating,Cooling,Country,File_name,Total Energy
0,ANNISTON METROPOLITAN AP,722287,3A,13819.36,14126.38,USA,USA_AL_Anniston.Metro.AP.722287_TMY3,27945.74
1,AUBURN-OPELIKA APT,722284,3A,14189.79,13394.72,USA,USA_AL_Auburn-Opelika.AP.722284_TMY3,27584.51
2,BIRMINGHAM MUNICIPAL AP,722280,3A,15318.26,14412.29,USA,USA_AL_Birmingham.722280_TMY2,29730.55
3,BIRMINGHAM MUNICIPAL AP,722280,3A,14024.06,15974.8,USA,USA_AL_Birmingham.Muni.AP.722280_TMY3,29998.86
4,BIRMINGHAM MUNICIPAL AP,722280,3A,15257.49,13901.75,USA,USA_AL_Birmingham.Muni.AP.722280_TMY,29159.24
5,CAIRNS AAF/OZARK,722269,2A,13291.43,17657.85,USA,USA_AL_Fort.Rucker-Cairns.Field.722269_TMY3,30949.28
6,DOTHAN MUNICIPAL,722268,2A,9944.58,19331.09,USA,USA_AL_Dothan.Muni.AP.722268_TMY3,29275.67
7,GADSEN MUNI (AWOS),722285,3A,16954.86,12610.77,USA,USA_AL_Gadsen.Muni.AWOS.722285_TMY3,29565.63
8,HUNTSVILLE INTL/JONES FIELD,723230,3A,22532.77,13379.82,USA,USA_AL_Huntsville.723230_TMY2,35912.59
9,HUNTSVILLE INTL/JONES FIELD,723230,3A,20946.46,13916.51,USA,USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3,34862.97
10,MAXWELL AFB/MONTGOM,722265,3A,14510.27,19450.02,USA,USA_AL_Maxwell.AFB.722265_TMY3,33960.29
11,MOBILE REGIONAL AP,722230,2A,8392.53,19309.19,USA,USA_AL_Mobile-Rgnl.AP.722230_TMY3,27701.72
12,MOBILE REGIONAL AP,722230,2A,7628.35,18671.34,USA,USA_AL_Mobile.722230_TMY2,26299.69
13,MOBILE REGIONAL AP,722230,2A,6265.37,17870.94,USA,USA_AL_Mobile-Rgnl.AP.722230_TMY,24136.31
14,MONTGOMERY DANNELLY FIELD,722260,3A,11394.15,16697.02,USA,USA_AL_Montgomery-Dannelly.Field.722260_TMY,28091.17
15,MONTGOMERY DANNELLY FIELD,722260,3A,11003.69,18573.58,USA,USA_AL_Montgomery-Dannelly.Field.722260_TMY3,29577.27
16,MONTGOMERY DANNELLY FIELD,722260,3A,10555.52,18139.43,USA,USA_AL_Montgomery.722260_TMY2,28694.95
17,MUSCLE SHOALS REGIONAL AP,723235,3A,16156.6,14071.92,USA,USA_AL_Muscle.Shoals.Rgnl.AP.723235_TMY3,30228.52
18,TUSCALOOSA MUNICIPAL AP,722286,3A,14158.15,16577.86,USA,USA_AL_Tuscaloosa.Muni.AP.722286_TMY3,30736.01
19,ADAK NAS,704540,7,69574.9,24.33,USA,USA_AK_Adak.NAS.704540_TMY3,69599.23
20,ADAK NAS,704540,7,70270.78,118.81,USA,USA_AK_Adak.NAS.704540_TMY,70389.59
21,AMBLER,701718,8,166250.09,936.08,USA,USA_AK_Ambler.701718_TMY3,167186.17
22,ANAKTUVUK PASS,701625,8,202553.91,233.15,USA,USA_AK_Anaktuvuk.Pass.701625_TMY3,202787.06
23,ANCHORAGE INTL AP,702730,7,100088.71,812.88,USA,USA_AK_Anchorage.Intl.AP.702730_TMY3,100901.59
24,ANCHORAGE INTL AP,702730,7,102096.84,846.95,USA,USA_AK_Anchorage.702730_TMY2,102943.79
25,ANCHORAGE MERRILL FIELD,702735,7,78455.96,1293.44,USA,USA_AK_Anchorage-Merrill.Field.702735_TMY3,79749.4
26,ANCHORAGE/ELMENDORF,702720,7,80456.78,1333.28,USA,USA_AK_Anchorage-Elmendorf.AFB.702720_TMY3,81790.06
27,ANNETTE ISLAND AP,703980,5A,38553.78,817.62,USA,USA_AK_Annette.Island.AP.703980_TMY3,39371.4
28,ANNETTE ISLAND AP,703980,5A,49836.37,702,USA,USA_AK_Annette.Island.AP.703980_TMY,50538.37
29,ANNETTE ISLAND AP,703980,5A,45733.13,818.92,USA,USA_AK_Annette.703980_TMY2,46552.05
30,ANVIK,702075,8,117951.35,1061.55,USA,USA_AK_Anvik.702075_TMY3,119012.9
31,BARROW W POST-W ROGERS ARPT,700260,8,274327.18,18.54,USA,USA_AK_Barrow-W.Post-W.Rogers.AP.700260_TMY3,274345.72
32,BARROW W POST-W ROGERS ARPT,700260,8,282267.41,8.33,USA,USA_AK_Barrow.700260_TMY2,282275.74
33,BETHEL AIRPORT,702190,7,159956.94,397.36,USA,USA_AK_Bethel.AP.702190_TMY,160354.3
34,BETHEL AIRPORT,702190,7,135454.65,350.69,USA,USA_AK_Bethel.AP.702190_TMY3,135805.34
35,BETHEL AIRPORT,702190,7,154193.92,443.56,USA,USA_AK_Bethel.702190_TMY2,154637.48
36,BETTLES FIELD,701740,8,192452.06,1303.41,USA,USA_AK_Bettles.Field.701740_TMY3,193755.47
